"annotation_id","annotator","created_at","id","lead_time","review","sentiment","toxic","updated_at"
1,"1","2026-05-02T12:52:07.279467Z",0,41.751,"качество плохое пошив ужасный (горловина наперекос) Фото не соответствует Ткань ужасная рисунок блеклый маленький рукав не такой УЖАС!!!!! не стоит за такие деньги г.......","negative","","2026-05-02T12:52:07.279499Z"
312,"1","2026-05-02T13:16:55.330141Z",1,9.457,"Товар отдали другому человеку, я не получила посылку. Ладно хоть деньги вернули.","negative","OK","2026-05-02T13:16:55.330184Z"
313,"1","2026-05-02T13:17:05.158106Z",2,5.049,"Ужасная синтетика! Тонкая, ничего общего с представленной картинкой, не яркая, рисунок растянут и тусклый, впрочем как и сама кофта- мешок! На картинке кажется приталенной на самом деле нет! Не рекомендую","negative","OK","2026-05-02T13:17:05.158136Z"
2,"1","2026-05-02T12:55:55.952775Z",3,3.983,"товар не пришел, продавец продлил защиту без моего согласия. от продавца одни обещания","negative","OK","2026-05-02T12:55:55.952806Z"
3,"1","2026-05-02T12:55:58.085667Z",4,1.482,"Кофточка голая синтетика, носить не возможно.","negative","OK","2026-05-02T12:55:58.085701Z"
4,"1","2026-05-02T12:55:59.916004Z",5,1.197,"Очень глубокие проймы","negative","OK","2026-05-02T12:55:59.916043Z"
5,"1","2026-05-02T12:56:27.004145Z",6,4.097,"Я недовольна заказом.Я вот одного не понимаю почему внизу не прошито в остальных местах все прошито.Спасибо хоть за общительность и за быстрость.","negative","OK","2026-05-02T12:56:27.004176Z"
6,"1","2026-05-02T12:56:30.155614Z",7,2.529,"заказала размер s на от 64,об 94,начнем с того, что влезть туда могут 3 меня, они постоянно сползают и заниматься вообще неудобно.  качество ужасное, будто просто одел капроновые колготки и то, не самые лучшие, после первой носки сразу же образовались катышки.носить не буду.
читала отзывы,мб это только мне так не повезлр(","negative","OK","2026-05-02T12:56:30.155640Z"
7,"1","2026-05-02T12:56:38.200930Z",8,7.479,"Заказ я сделала в июле. С тех пор посылка отслеживалась до границы с Россией(есть подозрение что ее там потеряли), а продавец отказывался возвращать оплату или отправить повторно посылку. Общалась с ним не однократно, последний раз обещал продлить защиту, но не сделал этого. Дело не в сумме, просто принцип уже. Если ситуация изменится дополню отзыв./The order I made in July. Since the package was tracked to the border with Russia(there is a suspicion that it's lost), and the seller refused to refund the payment or re-send the parcel. I talked to him once, the last time promised to extend protection, but didn't. It's not the amount, just the principle already. If the situation changes I will add a review.","negative","OK","2026-05-02T12:56:38.200961Z"
8,"1","2026-05-02T12:57:51.962828Z",9,2.542,"Ужасное качество товара!","negative","OK","2026-05-02T12:57:51.962855Z"
9,"1","2026-05-02T12:57:53.586602Z",10,1.062,"короткая кофта нитки торчат,не суразно выглядит вообще","negative","OK","2026-05-02T12:57:53.586633Z"
10,"1","2026-05-02T12:57:55.135672Z",11,1.031,"ткань приятная. вот только пятно на спине.","negative","OK","2026-05-02T12:57:55.135694Z"
11,"1","2026-05-02T12:57:56.571181Z",12,0.9,"рубашка очень маломерит .. заказывала хл пришло на 46 размер","negative","OK","2026-05-02T12:57:56.571214Z"
12,"1","2026-05-02T12:57:58.301405Z",13,1.149,"кофта пришла с браком, вот такая дыра на горловине","negative","OK","2026-05-02T12:57:58.301438Z"
13,"1","2026-05-02T12:58:02.506350Z",14,3.585,"товар застрял во Внуково. видимо каряво написали адрес. деньги не вернули!!!!","negative","OK","2026-05-02T12:58:02.506380Z"
14,"1","2026-05-02T12:58:04.277225Z",15,1.156,"кофта выглядит как тряпка,большемерка,еще и колится","negative","OK","2026-05-02T12:58:04.277256Z"
15,"1","2026-05-02T12:58:07.844999Z",16,2.936,"Проблема с выкройкой.  Шапка сзади заворачивается как у гнома. Шапка с меховым подкладом. Попробую распороть и перешить. Не рекомендую. Хотя такая цена... не катастрофа.","negative","OK","2026-05-02T12:58:07.845031Z"
16,"1","2026-05-02T12:58:09.298697Z",17,0.841,"размер очень мал","negative","OK","2026-05-02T12:58:09.298730Z"
17,"1","2026-05-02T12:58:12.014546Z",18,2.11,"Это не толстовка, а ужас, висит мешком, не смотря на то, что размер выбирала очень долго, единственный + это очень приятный цвет. ","negative","OK","2026-05-02T12:58:12.014575Z"
18,"1","2026-05-02T12:58:17.314728Z",19,4.626,"Заказывала фиолетовую кофту размер XL, пришла очень маленькая кофта по длине 53 см и по груди тоже-детская разм. меньше чем S. Очень расстроилась, по спору присудили возврат денег 27 декабря. Выплата от 3 до 20 дней. Прошло уже 24 дня, деньги продавец не вернул, на сообщения не отвечает! Кофту такого смешного размера носить нельзя. Продавец непорядочный! Непонятно, почему Алиэкспресс после спора не отслеживают возвраты денег!","negative","OK","2026-05-02T12:58:17.314775Z"
19,"1","2026-05-02T12:58:20.057068Z",20,2.092,"В общем . Почему одна заезда? Только за то, что пришли за 1,5 недели. Остальное - ужас. Нитки торчат, пришли маломерки, молния задняя держится на бог знает чем и она кривая...я очень расстроена ","negative","OK","2026-05-02T12:58:20.057098Z"
20,"1","2026-05-02T12:58:22.478830Z",21,1.783,"материал гладкий. синтетика. летом не представляю как носить. будет очень жарко. странно , что никто не написал, что совсем нет хлопка в составе как у трикотажа , к примеру.","negative","OK","2026-05-02T12:58:22.478859Z"
21,"1","2026-05-02T12:58:25.186274Z",22,2.093,"заказ не пришёл. ждала с мая. спор открывать не буду, считаю это ниже моего достоинства. Пусть будет на совести продавца. магазин заигнорю","negative","OK","2026-05-02T12:58:25.186306Z"
