text,label
"старые люди говорят , если стучат в окно и зовут , нельзя о́тзываться и вы́ходить",OK
"конечно, куда им всем?! упр срочно ушла в отпуск т.к. и зав потологическим отделением, не знаете в чем такая поспешность?! а в том что у мишеньки суд 4 августа и его маму могут ограничить в правах, а если ее ограничат значит ребёнок попадёт в систему и останется без риздиплама!!!!!",OK
помидоры проданы,OK
"сразу поскупился, а в процессе приготовления не раз пожалеет:-d :-d (ch)",OK
знакомое одеяло 😉😘👍,OK
"так и у людей, пока ты можешь за себя постоять, тебя не сожрут, 👍😋",OK
какое чудо! какая красота!!!,OK
"на счет ранений ,контузий , заболеваний ,обратитесь в военно мидицинский музей ,архивный отдел, в санкт петербурге !!",OK
интересно там ещё кто нибудь живёт?,OK
"добрый день, правильный ответ а.",OK
сволочь какой,TOXIC
"перевела с трудом, пробовала со словарём не помогло.",OK
"=застройщик= роман лукичев - это ... - да а остальное - под вопросом... застройка у моря...новой нет , а старую - не сносят... с чем тут разбираться ... канализация в море... где ? даже устье байбуги проплываю - не пахнет , море чистое... эта поклонская ...ничего не изменит... пусть и не едет .. ok.ru/profile/589498071333/pphotos/890572465189 ok.ru/profile/589498071333/pphotos/891379936805",OK
ээээххх детство!!!!😍,OK
я только завтра поеду,OK
негде работать просто напросто. а не вот это вот всё ☝️понаписанное.,OK
на стройку эту блядь старую пусть стены штукатурит,TOXIC
умные люди ещё тогда предупреждали !!!! а теперь уже поздно...,OK
"суки жирные, скоро всех вас на мясо комбинат",TOXIC
золотые слова ведь это правда,OK
здравствуйте. как можно заказать,OK
джанкой.,OK
ета не твая реалная лицо,OK
ещё одна красивая песня. ❤❤❤,OK
"ну да!! будет уже не до простуды,потому, что откроетца язва желудка кровавая--- коньяк с лемонным соком и асперином??? ребята... вас пора стрелять за этот бред",TOXIC
у меня тоже такая красавица в саду растёт!,OK
размер в готовом виде?,OK
"нежного утра всем ;) хорошего настроения и удачного дня,любви ласки нежности💕💙💚❤💕💚💜❤☕☕☕☕☕💋💋💋💋",OK
не плачь когда меня не станет и горем сердца ты не рви такой нет силы что заставит меня отречься от любви я буду небесным облаком я буду снегом и травой я буду духом бестелесным но знай я рядом я с тобой я буду посланцем солнечным тебя везде сопровождать с тобой от радости смеяться и над твоей бедой рыдать когда ж за роковой чертою познаю неземную грусть то я слезинкой дождевою к щеке любимой прикоснусь и былинкой затрепещется душа бытия за гранью а ты смахнешь с лица дождинку поймёшь и не что это я,OK
"здорово , молодец, счастья тебе.",OK
"главное не только поймать , но и сфоткать правильно",OK
сипоратор .перегоняет молоко на сметану и второе перегон,OK
когда у меня будет доченька👨‍👩‍👧‍👦тоже отправлю на гимнастику☺,OK
"задача образовательной системы - учись учиться- , а если ты пройдя весь курс обучения дурак, то смысл мучить учителей и себя...",OK
"/зайдя на кухню, девушка села на стул, взглянув на подругу, девушка проговорила/ тебя обидел кто-то? /спросив девушка, и продолжала смотреть на подругу, и потихоньку под глазами начали появляться вены, и глаза стали наливаться кровью, думая, что девушка ответит, что её кто-то посмел обидеть/",OK
интересно мне придут 25 повторно отправляла я заевление 3 .7 может и мне повезет сегодня ☹,OK
мы тоже служим в чебаркуле призыв 4 июля завтра 2 августа присяга. к большому сожалению,OK
привет генадий ! готовься к турниру ! ну как там в хабаровске ?,OK
михайловна ты просто супер. женщина с большой буквы.,OK
молодец ....,OK
путин вв кпсс б член с года матвиенко ви член кпсс с года с нарышкин си кпсс член с б года медведев да член кпсс с вб года иванов сб член кпсс з года с шойгу ск член кпсс года с лавров св член кпсс с года собянин сс член кпсс с вб года чуров ве член кпсс в года с ме кпсс с фрадков член года полтавченко гс кпсс б член с года бортников ав член кпсс с б года степашин св член кпсс с з года чайка юя член кпсс б с года грызлов бв кпсс года член с вб астахов па член кпсс с года сечин ии член кпсс о года с чубайс аб член кпсс с во года кпсс колокольцев bа член в года с улюкаев ав кпсс вз член с года силуанов аг член кпсс с в года володин вв член кпсс с вб года сурков вю член кпсс вб года с голикова та кпсс вб член с года зорькин вд член кпсс с о года лебедев вм член кпсс с бв года аг кпсс бв тулеев член с года зубков bа член кпсс б года с,OK
ростов в том месяце 7 числа было)),OK
сеятель :d,OK
кто таких малоетних уродов воспитывает в колонию их надо чтобы знали что не чего безнаказана не остаётся.,TOXIC
мне 572*3 пришло только на двоих почему-то,OK
"детские комплексы на всю жизнь! зарабатывая такие деньги можно было бы переключиться, в мире столько интересного и даже работа её не отвлекла. да лечение похоже неизбежно!",OK
даром не возьмут,OK
перемещение на попова 113 орг. людмила солнцева от 1 августа.,OK
15 лет без права переписки с конфискацией незаконно нажитого имущества.,OK
"да милое фото, но сколько долбаебов, пиздастрадальцев, фейк это мужики.",TOXIC
жополиз пиндосовский,TOXIC
"вы от стресса должны похудеть ,или вам наплевать,что вы разводитесь?",OK
"мила, добрый день! заберите пож. прибалтику 4/20. благодарю.",OK
"не коты.., аристократы...!",OK
"очень талантливо, но грустно. и так не хочется стареть!",OK
бить врагов стоять за себя,TOXIC
всё отобрать и растрелять,TOXIC
сбербанк онлайн чек по операции сбербанк конлайн операция карты на карту перевод с дата опера ации мск ви июн оо оперхции мску время о бзб номер документа взо ации статус опера успешно выполнен сумма операции боооо руб комиссия ооо руб отправителы иг вчз получатель в карты код ав вторизации ббзо получатель платежа инесса сергеевна е платеж выполнен,OK
м а рссии итли sиам сб с с днем в ззз ч рождения иссип взз б о что у з л е g сабиск на а,OK
алхамду лиллях,OK
на рынке и в галерее,OK
потрясающе!!! здоровья и вдохновения на радость людям.,OK
вы прекрасная женщина! всего вам самого доброго!(lo) 👍 💐 💐 💐,OK
мелкий с характером!!!,OK
они запугивают детей и издеваются ! бедные дети ! только когда проверка они ведут себя хорошо и к детям отношения сразу хорошое,OK
возможно. но такого радостного восприятия измены я не встречала еще. видимо думать нечем... тут скорее вброс пообсуждать чтоб,OK
"молодец так. держать, наверно очень вкусный",OK
из за вот таких долбодятлов даже в приложение залазить не охота. веришь во всякую херь - верь и остальным не навязывай,TOXIC
а причем диета для похудания взде ее суете меньше жрите или пейте одну воду пей вода и ешь вода ср/ не будешь ни когда,OK
это скифский курган раскопанный копателями.,OK
"отличные слова. такая богатая страна,такой талантливый народ! почему правят нелюди.....",OK
придурки! так вколыхнете печень-мало не покажется!,TOXIC
"и думаю, что моё не бритое (ебало) как вы изволили выразиться, здесь вовсе не при чём. просто когда вы выражаете свои мысли не думаете о том как их поймут окружающие. ведь согласитесь (трахать и трахаться) это не много разные понятия.",TOXIC
мелао схастья ч gнём рождения,OK
на 42 есть?,OK
ком волна вторая мать а кому родна,OK
"ностадьгия по школе.причёски такие носили,назывались они гаврош.у меня в 10 кл была такая стрижка.и писк моды,сапоги чулки.всё облегает по ножке,блестит,каблучок и ходишь косточкой по школе-красота.",OK
пидарас ебаный ядерное оружые всей страны за лапшу на ушы променял сука рострелять гандона,TOXIC
— вы очень милая пара. #ричарти,OK
чёрный лифт,OK
восхищение! руки золотые! удивляйте нас своими изделиями!,OK
"думаю ,что собачку никто и не заметит.(fr)",OK
