text,toxic
миньет,1
"талант от бога, художник супер",0
"счастья тебе, маленькая красавица!",0
"этот марш не надо ни в какой день, пацанов потом пересажают за нанесение побоев пидарасам, ничего хорошего из этого не выйдет. будьте в здравом смысле, такого допускать нельзя!",1
"дай бог здоровья всем папам, чтоб не было таких стихов.",0
"мало! надо было шею сломать, а заодно и мамашке её",1
на кол посадить,1
"я.смотрю ты не здря в феврале рождённая,февральские они все.недоношеные и недоебаные с.рваными дырами.",1
ёбаный олень!!!,1
"скоро им всем пиздец, и их щенятам",1
профессор пре!ображенский ещё оперирует,0
совсем охуели что ли?может и гавно пожрёте ? уёбки,1
"спасибо большое, помогло, палочки зачислились",0
корова бля,1
порох може нас спасе !,0
...тебе - долбоёбу уже один раз объяснял!!! - не доходит...вернись в школу и изучи наконец физику!!!,1
стрелять в таких прям на месте.,1
"меня вчера отказались обслуживать на открытом рынке....в зеленограде...продавец объяснил,что их будут штрафовать за продажу товара покупателю без маски (уговорить не удалось)...​",0
а где ставили в полтавской?,0
ну чего ты вылез.отсиделся бы один день дома.ущербный.теперь вся россия знает что ты пидор.,1
опа на .так ты пидорок и анан ? эка тебя вывернуло !:d,1
таксист был на калине.,0
я тоже хочу туда!!!,0
"здравствуйте, напишите информацию про собачку",0
"скорее бы... застрелились, я - за!",1
"Пуховик очень хороший. Не скажу, что очень дорогая ткань и фурнитура, но для такой цены качество очень приличное. S отлично подошёл на 84-65-89 даже есть запас, но с тёплым свитером отлично. На 156 ровно по колено длина. Мех просто шик, как на фото мне достался. Но есть небольшие залысы в месте сгиба, где пристрочен к ткани, это особо не видно, продавец вернул часть средств. В МО 2 недели доставка курьером.",0
вы чмара следите за базаром,1
это дьявол просто вампир пид..,1
"такие же как и у тебя мрази и шлюхи,это ты про себя",1
"во-первых, не тыкайте, не берите пример с известного бессимптомного. во-вторых, купите учебник русского языка, т.к. в комментарии столько ошибок, что складывается очень плохое мнение о вашем уровне интеллекта и образования. в-третьих, для того, чтобы знать, что в пенсионном фонде дефицит, что население уезжает и не спешит возвращаться, достаточно поискать в открытых источниках информации (хотя бы данные гос. стат. комитета). про хаос при смене президента, про детей даже не стану комментировать откровенную глупость. удачи!",0
мил человек ты с какой скоростью на своём камазе в гору с 20 тоннами едешь????,0
