text,label
качество плохое пошив ужасный (горловина наперекос) Фото не соответствует Ткань ужасная рисунок блеклый маленький рукав не такой УЖАС!!!!! не стоит за такие деньги г.......,OK
"Товар отдали другому человеку, я не получила посылку. Ладно хоть деньги вернули.",OK
"Ужасная синтетика! Тонкая, ничего общего с представленной картинкой, не яркая, рисунок растянут и тусклый, впрочем как и сама кофта- мешок! На картинке кажется приталенной на самом деле нет! Не рекомендую",OK
"товар не пришел, продавец продлил защиту без моего согласия. от продавца одни обещания",OK
"Кофточка голая синтетика, носить не возможно.",OK
Очень глубокие проймы,OK
Я недовольна заказом.Я вот одного не понимаю почему внизу не прошито в остальных местах все прошито.Спасибо хоть за общительность и за быстрость.,OK
"заказала размер s на от 64,об 94,начнем с того, что влезть туда могут 3 меня, они постоянно сползают и заниматься вообще неудобно.  качество ужасное, будто просто одел капроновые колготки и то, не самые лучшие, после первой носки сразу же образовались катышки.носить не буду.
читала отзывы,мб это только мне так не повезлр(",OK
"Заказ я сделала в июле. С тех пор посылка отслеживалась до границы с Россией(есть подозрение что ее там потеряли), а продавец отказывался возвращать оплату или отправить повторно посылку. Общалась с ним не однократно, последний раз обещал продлить защиту, но не сделал этого. Дело не в сумме, просто принцип уже. Если ситуация изменится дополню отзыв./The order I made in July. Since the package was tracked to the border with Russia(there is a suspicion that it's lost), and the seller refused to refund the payment or re-send the parcel. I talked to him once, the last time promised to extend protection, but didn't. It's not the amount, just the principle already. If the situation changes I will add a review.",OK
Ужасное качество товара!,OK
"короткая кофта нитки торчат,не суразно выглядит вообще",OK
ткань приятная. вот только пятно на спине.,OK
рубашка очень маломерит .. заказывала хл пришло на 46 размер,OK
"кофта пришла с браком, вот такая дыра на горловине",OK
товар застрял во Внуково. видимо каряво написали адрес. деньги не вернули!!!!,OK
"кофта выглядит как тряпка,большемерка,еще и колится",OK
Проблема с выкройкой.  Шапка сзади заворачивается как у гнома. Шапка с меховым подкладом. Попробую распороть и перешить. Не рекомендую. Хотя такая цена... не катастрофа.,OK
размер очень мал,OK
"Это не толстовка, а ужас, висит мешком, не смотря на то, что размер выбирала очень долго, единственный + это очень приятный цвет. ",OK
"Заказывала фиолетовую кофту размер XL, пришла очень маленькая кофта по длине 53 см и по груди тоже-детская разм. меньше чем S. Очень расстроилась, по спору присудили возврат денег 27 декабря. Выплата от 3 до 20 дней. Прошло уже 24 дня, деньги продавец не вернул, на сообщения не отвечает! Кофту такого смешного размера носить нельзя. Продавец непорядочный! Непонятно, почему Алиэкспресс после спора не отслеживают возвраты денег!",OK
"В общем . Почему одна заезда? Только за то, что пришли за 1,5 недели. Остальное - ужас. Нитки торчат, пришли маломерки, молния задняя держится на бог знает чем и она кривая...я очень расстроена ",OK
"материал гладкий. синтетика. летом не представляю как носить. будет очень жарко. странно , что никто не написал, что совсем нет хлопка в составе как у трикотажа , к примеру.",OK
"заказ не пришёл. ждала с мая. спор открывать не буду, считаю это ниже моего достоинства. Пусть будет на совести продавца. магазин заигнорю",OK
"Пуловер получил, жена товаром категорически не довольна, везде торчат нитки , за любую потянешь , кофта начинает распускаться , цвет на картинке светло розовый , послали серо - розовый , брака очень много , доделок требуется очень много. Подвальная работа .",OK
"Повязка пришла вовремя , но вся драная . Очень жаль. ",OK
заказ не пришёл!!!!!,OK
Товар не пришел,OK
"ставлю 1звезду, т.к товар не пришел. ждала с мая по сентябрь. деньги вернули.",OK
"ужасно! очень неудобный и в подмышках жмет
может он расчитан на маленьких девочек или девушек без груди.
Очень расстроена(",OK
ужас!!! заказ ждала 3 месяца он так и не пришел. продавец обещал что он придет постоянно продлевал дни доставки. потом я открыла спор  попросила деньги назад но ничего. вообщем кошмар.,OK
Товар так и не пришёл ((( продавец не вернул деньги (((,OK
"Продавец обманщик,товар не пришёл,деньги не вернули",OK
"Товар не соответсвует фото продавца. Заказывала свитер, а пришёл кардиган абсолютно другого фасона. Деньги не вернули. ",OK
"К сожалению, заказ не отслеживается. Пропал... очень обидно... обратная связь с продавцом хорошая ",OK
"плохо сшито, швы не ровные, нитки торчат, ткань колючая. спор закрыли не в мою пользу. модель сама по себе красивая, упаковано хорошо, по размеру подошло. но качество оставляет желать лучшего.",OK
"Не держится, не прилипает, не выполняет свои функции. Выброс денег.",OK
"Кофта шла с большими проблемами,  трек плохо отслеживался. Заказала XXL на свой 46 размер.  По сравнению с кофточкой я слон, т.к. эта вещь на девочку 10-ти лет.",OK
"заказывала разного цвета, а пришли две одинаковые за это минус",OK
Ужасная тряпка для мытья полов. Отдала домработнице. Она правда себе взяла))) носить будет))),OK
Отвратительная вещь! Хочу уже просить деньги обратно! Очень разочарована! Я такие некачественные вещи уже давно не видела! Совершенно не то что на картинке. Ужасный покрой проймы и воротника. Ничего в этом магазине никогда не буду брать. Я возмущена - как можно такое продавать людям!,OK
Увы( товар отличается от товара предлагаемого сайтом.,OK
"Свитер бракованный, запаха нет,большая, но теплая доставка долгая.",OK
товар так и не пришел продавец даже не отвечал на смс,OK
"заказывала два платья в день распродажи.одно из них пришло быстро
.а вот второе было отправлено совершенно в другой город.и его получил другой покупатель.открыла спор.целый месяц продавец пудрил мозги (((не ожидала от такого магазина бренда .Али экспресс вернул оплату за второе платье.в магазине очень разочарованна",OK
"по заказаному размеру я вписывала
сь с запасом в 5 см.Но даже не натянула!",OK
"товар не пришел
деньги не вернули",OK
продовец хотел кинуть товар типо выслал ток в другую точку мира,OK
"Товар сначался ушёл в Латвию,  потом в какой то город,  вроде Гусев.  Защита закончилась,  спор не открывается,  ни денег,  ни товара!!!!  Не рекомендую!!!!!!!!  Лучше взять на несколько рублей дороже у другого продавца,  зато вещь будет у тебя.  Не рекомендую!!!!!!!!!!!",OK
очень не довольна этим продавцом!Второй раз заказывала эту кофту и оба раза она не пришла. Хоть деньги вернули.,OK
"толстовка дырявая, швы не прошиты вообще,",OK
"послали по другому адресу,  пришлось ставить на спор. недовольна продавцом!",OK
"Размеры не соответствуют заявленным. Заказала xl,а пришла маленькая как s. Отдала худющей сестре. Заказом не довольна. ",OK
"Заказанный товар пришел не того цвета. Я заказывала цвет navy, а получила navy2 - это очень темный цвет. В нашем споре я так и не смогла это доказать Продавец сказал, что я такой цвет и заказывала. .Я просила вернуть деньги за товар - они не согласились. Я хотела сделать возврат товара за их счет - они тоже не захотели. В общем, я осталась без товара и без денег. Я очень недовольна этим магазином.",OK
Товар не пришёл.Продавец тянул время.По лось открывать спор.Экспресс вмешался.Деньги вернули.,OK
Заказала L...мал((( идет на 46 р. Качество хорошее. Аккуратнее с размером,OK
Товар не получила. Открыли спор,OK
"Толстовка абсолютно не такая как на фото. Очень маленькая, а на фото смотрится балахоном. Размер XXL. Качество тоже не очень. Вообщем не советую",OK
кофта не совпадает с фото в интернете к сожалению....,OK
платье не пришло в мае заказала все лето ждала и не пришло вернули деньги это плюс.,OK
"заказ не отслеживался, продавец вообще не шел на контакт. 2 месяца зря прождала",OK
на фото все выглядело гораздо лучше чем оказалось в реальности. размер который я заказала оказался не просто большим а огромным!,OK
"штаны классные,  дочке подошли с небольшим запасом,  внутри небольшой начес,  но сам материал тонковат. 
Сняла звезды за то,  что штаны пришли с браком: там где шов слишком мало ткани на припуск и были не прошиты,  и прошить сложно,  так как материал в этом месте без запаса и даже зацепиться не за что,  чтобы прошить.  Открыла спор,  но деньги не вернули.  
Хоть бы смотрели,  что отправляют.  Обидно  - деньги на ветер.",OK
"первый раз столкнулась с подобным обманом,, прислали пустой пакет. спор открыла сразу,, но решение не в мою пользу (крайне разочарована в людях",OK
"Леггенсы ужасть. Ткань еще норм, но выкроны одинаково что спереди что сзади, так что не садятся на женскую фигуру как надо и везде собираются складками, хотя фигура у пеня нормальная. В икрах плотно, попу расплющили, под попой и в паху складки, талия высокая и свободная. Такие вещи лучше мерить перед покупкой. Если вы любите что бы сидело хорошо - не берите. ",OK
"Заказ пришёл изначально в другой город ,ждала очень долго из за этого, продавец не общался!!!",OK
Приехал платок половина его а вторую половину себе видно оставили это ужас ,OK
"Платье пришло с браком!!!! Продавец не отвечает и не вооачивает деньги!!! Ужасный продавец, заказывать у него больше никогда не буду, все очень плохо!!!!!",OK
не стоит покупать. лучше переплатить и купить норм кофту,OK
"Доставка быстрая-единственный плюс.
Платье тонкое! Не на осень даже, а на лето. Таблица размеров не совсем точная, платье великовато. Карманов нет, это ""обманка"". Длина на рост 165- ниже колена. В общем я осталась недовольна, т.к. заявлено,что платье тёплое.",OK
рост туловища явно не на наших девченок) пошить очень криво,OK
"заказа не получила, деньги не вернули!",OK
Велико,OK
"Посылки нет уже 3 месяца.Продавец уверяла ,что в пути.Номер не отслеживался.Открыла спор.Продавец просил закрыть.Вмешалась служба алиэкспресс.Они решили вернуть мне деньги.Поэтому ни одной звезды.",OK
Заказ не прислали! Деньги не вернули!,OK
